Sample,Temperature,Time,Device Number,mu_lin,mu_lin_avg,mu_lin_SD,r_lin,r_lin_avg,r_lin_SD,on_off,on_off_avg,on_off_SD,Vt,Vt_avg,Vt_SD,
100C-5min_1_IdVg_3_Vd-20,100,5,1,0.0060319,,,0.770635774,,,61280.4878,,,-25.9144827,,,
,100,5,2,0.006059815,,,0.785322587,,,68620.10221,,,-26.15647121,,,
,100,5,3,0.006524513,,,0.733372754,,,67052.98013,,,-28.99489018,,,
,100,5,Average,,0.006162032,,,0.764991722,,,64558.51449,,,-26.7450817,,
,100,5,Std Dev,,,0.000276704,,,0.026780031,,,3865.39086,,,1.712896715,
100C-5min_1_IdVg_4_Vd-20,100,5,1,0.006764181,,,0.737266384,,,87392.29025,,,-33.8732503,,,
,100,5,2,0.006872943,,,0.731160029,,,88552.33853,,,-32.98039912,,,
,100,5,3,0.006966094,,,0.750775439,,,90547.04595,,,-32.02079617,,,
,100,5,Average,,0.006867739,,,0.739733951,,,88830.55824,,,-32.95814853,,
,100,5,Std Dev,,,0.000101057,,,0.010037816,,,1595.674008,,,0.926427489,
100C-5min_1_IdVg_5_Vd-20,100,5,1,0.00320121,,,0.74787164,,,44690.8213,,,-32.838131,,,
,100,5,2,0.00326048,,,0.75491397,,,42084.0708,,,-32.359298,,,
,100,5,3,0.0033465,,,0.75755448,,,57793.5103,,,-31.93372,,,
,100,5,Average,,0.0032694,,,0.7534467,,,48189.4675,,,-32.377049,,
,100,5,Std Dev,,,7.30543E-05,,,0.005005399,,,8418.848858,,,0.452466745,
100C-10min_3_IdVg_1_Vd-20,100,10,1,0.02666656,,,0.75523441,,,81719.1719,,,-18.07836,,,
,100,10,2,0.02730687,,,0.74971042,,,83596.0145,,,-18.525949,,,
,100,10,3,0.0276403,,,0.75085907,,,85054.5455,,,-18.553473,,,
,100,10,Average,,0.02720458,,,0.75193463,,,83456.5773,,,-18.385927,,
,100,10,Std Dev,,,0.000494864,,,0.002914832,,,1672.053023,,,0.266716406,
100C-10min_3_IdVg_3_Vd-20,100,10,1,0.03765694,,,0.7475313,,,130959.752,,,-20.17015,,,
,100,10,2,0.03843516,,,0.75028729,,,136125.654,,,-19.914135,,,
,100,10,3,0.03913867,,,0.7475694,,,133299.646,,,-19.875314,,,
,100,10,Average,,0.03841026,,,0.74846266,,,133461.684,,,-19.986533,,
,100,10,Std Dev,,,0.000741179,,,0.001580288,,,2586.760156,,,0.160197283,
100C-10min_3_IdVg_5_Vd-20,100,10,1,0.025134866,,,0.746240567,,,137249.3786,,,-21.10842512,,,
,100,10,2,0.02506853,,,0.757248123,,,130678.0982,,,-20.34669388,,,
,100,10,3,0.025362069,,,0.740380535,,,128354.8143,,,-20.49014276,,,
,100,10,Average,,0.025188488,,,0.747956408,,,132094.097,,,-20.64842059,,
,100,10,Std Dev,,,0.000153941,,,0.0085637,,,4613.25352,,,0.404780834,
100C-10min_4_IdVg_3_Vd-20,100,10,1,0.032121999,,,0.731320501,,,250059.0319,,,-21.00855157,,,
,100,10,2,0.032541054,,,0.732809706,,,250291.0361,,,-21.05248323,,,
,100,10,3,0.032817168,,,0.734079313,,,237636.7615,,,-21.04490947,,,
,100,10,Average,,0.032493407,,,0.732736507,,,245995.6098,,,-21.03531475,,
,100,10,Std Dev,,,0.000350025,,,0.001380862,,,7239.90439,,,0.023484922,
100C-10min_4_IdVg_4_Vd-20,100,10,1,0.032817168,,,0.735431164,,,234230.3552,,,-21.04490947,,,
,100,10,2,0.033080852,,,0.742309906,,,246000,,,-20.93958739,,,
,100,10,3,0.033540212,,,0.744048768,,,308219.1781,,,-20.632246,,,
,100,10,Average,,0.033146078,,,0.740596613,,,262816.5111,,,-20.87224762,,
