Sample,Temperature,Time,mu_lin_avg,mu_lin_sd,r_lin_avg,r_lin_sd,on_off_avg,on_off_sd,vt_avg,vt_sd
125C-5min_1-IdVg-1-Vd-20,125,5,0.01722179089,0.00060914228,0.8151098823,0.03138982326,1687.197322,234.8118828,-18.24581196,1.056340014
125C-5min_1-IdVg-3-Vd-20,125,5,0.04154244306,0.0002413501746,0.8025866055,0.005875548236,1.507165853,0.002156251952,143.2177748,1.16635088
125C-5min_1-IdVg-4-Vd-20,125,5,0.02220496894,0.00009697201861,0.82268257,0.004117165029,2.21249531,0.001230859945,52.10723525,0.4130134773
125C-5min_2-IdVg-1-Vd-20,125,5,0.02290320911,0.0005201291647,0.8388069809,0.02556065022,5.344261742,0.04908930726,7.805866512,1.166897141
125C-5min_2-IdVg-2-Vd-20,125,5,0.02907781228,0.0006538269688,0.8632616752,0.02074145254,2.434941336,0.002881117375,48.19970347,2.228275378
125C-5min_2-IdVg-3-Vd-20,125,5,0.04063017598,0.0003554156972,0.8332069805,0.006601401313,4.44666618,0.02240009063,13.20129621,0.5399335662
125C-5min_2-IdVg-5-Vd-20,125,5,0.02004485852,0.0008428496769,0.7812064653,0.03441058081,3090.39425,188.9628829,-22.21065778,1.351592365
125C-10min_3-IdVg-1-Vd-20,125,10,0.01568564527,0.0001143556593,0.7567289987,0.004187139004,7721.689519,141.7046192,-24.4072729,0.2149466338
125C-10min_3-IdVg-4-Vd-20,125,10,0.01378442029,0.0002466896458,0.777230905,0.01268985871,4.899235712,0.008222113509,2.441184084,0.9433998887
125C-10min_4-IdVg-1-Vd-20,125,10,0.004633885438,0.0001408641143,0.8205805129,0.02097925375,5.909374305,0.007721914693,3.950032824,1.473099984
125C-10min_4-IdVg-2-Vd-20,125,10,0.02693555901,0.0003093600692,0.8155325589,0.007096027233,13.69460304,0.00932242024,-7.753012066,0.3833162832
125C-15min_5-IdVg-1-Vd-20,125,15,0.0004471169772,0.000002981703419,0.762309971,0.005162927198,55.37800184,0.3459341922,-14.74330779,0.3210735168
125C-15min_5-IdVg-2-Vd-20,125,15,0.00548033989,0.0001207879541,0.7559004793,0.01334305678,28.53097759,0.1658411194,-17.79571809,0.6366598684
125C-15min_5-IdVg-4-Vd-20,125,15,0.008951400652,0.0001139973695,0.7064958605,0.005572599308,15.00310537,0.07068679353,-9.494236657,0.3242574264
125C-15min_5-IdVg-5-Vd-20,125,15,0.001490942029,0.000007708784166,0.7555584512,0.001232911706,24.12683726,0.2880248956,-16.26578895,0.1161243168
125C-15min_6-IdVg-1-Vd-20,125,15,0.01188664596,0.000242748105,0.7992462548,0.01610883263,2.650140047,0.01004861881,31.41588655,1.662331875
125C-15min_6-IdVg-2-Vd-20,125,15,0.01587215321,0.00004348750271,0.788909517,0.005916775067,18.46665209,0.0688149642,-13.64394301,0.3022161848
125C-15min_6-IdVg-3-Vd-20,125,15,0.009609385783,0.000289905249,0.7813421099,0.01968319,15.96767099,0.01004861881,-12.79000825,1.128452452
125C-15min_6-IdVg-4-Vd-20,125,15,0.02716131815,0.0001177741926,0.8267675058,0.001108571395,44.60627049,0.4664249071,-12.86549936,0.1861225386
125C-15min_6-IdVg-5-Vd-20,125,15,0.0110931677,0.00005829189237,0.8025269427,0.008240239845,8.77093565,0.02846264606,-6.793554302,0.5361866711
125C-30min_7-IdVg-3-Vd-20,125,30,0.01789432367,0.0001373032252,0.8015507121,0.009808276972,35.4066504,0.9746695398,-7.486610539,0.7204966374
125C-30min_7-IdVg-4-Vd-20,125,30,0.01984137963,0.00017549067,0.8183172574,0.007880056582,16.48602817,0.01505439074,-7.657710547,0.3990489683
125C-30min_8-IdVg-1-Vd-20,125,30,0.01933479986,0.0003394030847,0.8160778722,0.01311657728,1324.893273,71.36690303,-16.68906577,0.5479432397
