Sample,Temperature,Time,Scan Number,mu_lin,mu_lin_avg,mu_lin_SD,r_lin,r_lin_avg,r_lin_SD,on_off,on_off_avg,on_off_SD,Vt,Vt_avg,Vt_SD,
125C-5min_1-IdVg-1-Vd-20,125,5,1,0.016560559,,,0.849672799,,,1954.133977,,,-17.10407876,,,
,125,5,2,0.017344721,,,0.807282238,,,1594.902252,,,-18.44494181,,,
,125,5,3,0.017760093,,,0.78837461,,,1512.555738,,,-19.1884153,,,
,125,5,Average,,0.017221791,,,0.815109882,,,1687.197322,,,-18.24581196,,
,125,5,Std Deviation,,,0.000609142,,,0.031389823,,,234.8118828,,,1.056340014,
125C-5min_1-IdVg-3-Vd-20,125,5,1,0.041708075,,,0.796425912,,,1.504957039,,,142.3546786,,,
,125,5,2,0.041265528,,,0.80812794,,,1.507275132,,,144.5446849,,,
,125,5,3,0.041653727,,,0.803205965,,,1.509265387,,,142.7539609,,,
,125,5,Average,,0.041542443,,,0.802586606,,,1.507165853,,,143.2177748,,
,125,5,Std Deviation,,,0.00024135,,,0.005875548,,,0.002156252,,,1.16635088,
125C-5min_1-IdVg-4-Vd-20,125,5,1,0.022282609,,,0.820780488,,,2.212772092,,,51.94634146,,,
,125,5,2,0.022096273,,,0.827406887,,,2.213564214,,,52.57648161,,,
,125,5,3,0.022236025,,,0.819860335,,,2.211149624,,,51.79888268,,,
,125,5,Average,,0.022204969,,,0.82268257,,,2.21249531,,,52.10723525,,
,125,5,Std Deviation,,,9.6972E-05,,,0.004117165,,,0.00123086,,,0.413013477,
125C-5min_1-IdVg-5-Vd-20,125,5,1,0.003108696,,,0.877412587,,,2.418862377,,,52.51981352,,,
,125,5,2,,,,,,,,,,,,,Flat
,125,5,3,,,,,,,,,,,,,N/A
,125,5,Average,0.003108696,,,0.877412587,,,2.418862377,,,52.51981352,,,
,125,5,Std Deviation,,,,,,,,,,,,,N/A
125C-5min_2-IdVg-1-Vd-20,125,5,1,0.022368012,,,0.860020826,,,5.356967011,,,8.840333218,,,
,125,5,2,0.023406832,,,0.810428553,,,5.29006883,,,6.540931405,,,
,125,5,3,0.022934783,,,0.845971564,,,5.385749386,,,8.036334913,,,
