Sample file name,Temperature,Time,Device Number,Device #,mu_lin,mu_lin_avg,mu_lin_SD,r_lin,r_lin_avg,r_lin_SD,on_off,on_off_avg,on_off_SD,Vt,Vt_avg,Vt_SD
150C-5min_1_IdVg_1_Vd-20-1,150,5,1,,0.017374737,,,0.844629612,,,23.69872226,,,-6.690854695,,
,150,5,2,,0.017094802,,,0.859147512,,,23.59531773,,,-6.031138231,,
,150,5,3,,0.017094802,,,0.863992616,,,23.43017498,,,-6.031138231,,
,150,5,Average,1,,0.017188114,,,0.855923247,,,23.57473832,,,-6.251043719,
,150,5,Std Dev,,,,0.000161621,,,0.01007613,,,0.135451262,,,0.380887478
150C-5min_2_IdVg_2_Vd-20-1,150,5,1,,0.054102939,,,0.802053998,,,3.034967887,,,42.24863019,,
,150,5,2,,0.05422854,,,0.873156452,,,3.971892482,,,27.4910943,,
,150,5,3,,0.053995532,,,0.878373806,,,4.197567053,,,22.94223425,,
,150,5,Average,2,,0.054109004,,,0.851194752,,,3.73480914,,,30.89398625,
,150,5,Std Dev,,,,0.000116622,,,0.04263702,,,0.616494597,,,10.09301671
150C-5min_2_IdVg_3_Vd-20-1,150,5,1,,0.044507618,,,0.816831551,,,2.303482587,,,54.6213576,,
,150,5,2,,0.044800167,,,0.756499505,,,2.292703151,,,54.1296915,,
,150,5,3,,0.044565217,,,0.809548521,,,2.292460646,,,54.75219512,,
,150,5,Average,3,,0.044624334,,,0.794293193,,,2.296215461,,,54.50108141,
,150,5,Std Dev,,,,0.000154975,,,0.032932245,,,0.006294683,,,0.328218618
150C-5min_2_IdVg_4_Vd-20-1,150,5,1,,0.049996494,,,0.907020128,,,2.675502008,,,49.34700891,,
,150,5,2,,0.051592954,,,0.880639303,,,2.678714859,,,46.35882933,,
,150,5,3,,0.051404151,,,0.885565424,,,2.681927711,,,46.65766464,,
,150,5,Average,4,,0.050997866,,,0.891074951,,,2.678714859,,,47.45450096,
,150,5,Std Dev,,,,0.000872337,,,0.014026873,,,0.003212852,,,1.645756784
150C-10min_3_IdVg_2_Vd-20-1,150,10,1,,0.022674088,,,0.844403826,,,29.42866365,,,-8.101946139,,
,150,10,2,,0.022893226,,,0.846377192,,,29.30454112,,,-8.075115937,,
,150,10,3,,0.022224009,,,0.878955396,,,29.04494382,,,-6.130285586,,
,150,10,Average,2,,0.022597108,,,0.856578805,,,29.25938287,,,-7.435782554,
,150,10,Std Dev,,,,0.000341185,,,0.019403799,,,0.195805205,,,1.130673125
150C-10min_3_IdVg_4_Vd-20-1,150,10,1,,0.026028753,,,0.843924561,,,88.48484848,,,-10.19227011,,
,150,10,2,,0.025456434,,,0.866774974,,,85.51207327,,,-8.732974756,,
,150,10,3,,0.025718359,,,0.860373389,,,84.84349259,,,-9.074311015,,
,150,10,Average,4,,0.025734515,,,0.857024308,,,86.28013811,,,-9.333185294,
,150,10,Std Dev,,,,0.000286501,,,0.011787604,,,1.938378416,,,0.7633136
150C-10min_3_IdVg_5_Vd-20-1,150,10,1,,0.015689669,,,0.810447432,,,36.27864897,,,-12.08543399,,
,150,10,2,,0.015533491,,,0.82616719,,,36.41271746,,,-10.80674645,,
,150,10,3,,0.015606519,,,0.826424421,,,36.50508677,,,-10.73027142,,
,150,10,Average,5,,0.015609893,,,0.821013014,,,36.39881774,,,-11.20748396,
,150,10,Std Dev,,,,7.81E-05,,,0.009150967,,,0.113857021,,,0.761287927
150C-10min_4_IdVg_2_Vd-20-1,150,10,1,,0.018001644,,,0.82876487,,,26.68413174,,,-9.227739867,,
,150,10,2,,0.0180071,,,0.818807448,,,26.53614458,,,-10.08433735,,
,150,10,3,,0.017971079,,,0.830609923,,,26.95011338,,,-9.425959216,,
,150,10,Average,2,,0.017993275,,,0.826060747,,,26.72346323,,,-9.579345478,
,150,10,Std Dev,,,,1.94E-05,,,0.006348922,,,0.209768364,,,0.448425379
150C-10min_4_IdVg_3_Vd-20-1,150,10,1,,0.015651049,,,0.787412123,,,67.66227658,,,-14.02133774,,
,150,10,2,,0.016612697,,,0.742306752,,,67.41599344,,,-17.18238915,,
,150,10,3,,0.015329567,,,0.802541155,,,67.73584906,,,-13.38362528,,
,150,10,Average,3,,0.015864438,,,0.77742001,,,67.60470636,,,-14.86245072,
,150,10,Std Dev,,,,0.00066765,,,0.031335724,,,0.16751911,,,2.034270145
150C-10min_4_IdVg_5_Vd-20-1,150,10,1,,0.000819773,,,0.724384414,,,2648.862512,,,-8.175178342,,
,150,10,2,,0.000823143,,,0.746280999,,,3119.558553,,,-8.794923172,,
,150,10,3,,0.000786005,,,0.766692275,,,2195.25066,,,-7.326480807,,
,150,10,Average,4,,0.00080964,,,0.745785896,,,2654.557242,,,-8.098860774,
,150,10,Std Dev,,,,2.05E-05,,,0.021158275,,,462.18026,,,0.737189951
150C-15min_5_IdVg_1_Vd-20-1,150,15,1,,0.032195383,,,0.851465584,,,41.69086802,,,-9.415857709,,
,150,15,2,,0.032292291,,,0.853986298,,,41.3354531,,,-9.113210536,,
,150,15,3,,0.033855911,,,0.814757209,,,40.50435866,,,-11.69102457,,
,150,15,Average,1,,0.032781195,,,0.840069697,,,41.17689326,,,-10.07336427,
,150,15,Std Dev,,,,0.000931992,,,0.02195746,,,0.608939268,,,1.409083908
150C-15min_5_IdVg_2_Vd-20-1,150,15,1,,0.040504002,,,0.838993845,,,12.86039454,,,-3.573303298,,
,150,15,2,,0.040486301,,,0.842689751,,,12.83559578,,,-3.37968466,,
,150,15,3,,0.040342435,,,0.847580924,,,12.90688872,,,-3.179634909,,
,150,15,Average,2,,0.040444246,,,0.843088173,,,12.86762634,,,-3.377540956,
,150,15,Std Dev,,,,8.86E-05,,,0.004307382,,,0.036192473,,,0.196842949
150C-15min_5_IdVg_3_Vd-20,150,15,1,,0.037910378,,,0.844950462,,,34.10469557,,,-7.939744676,,
,150,15,2,,0.038648054,,,0.83216969,,,34.96326905,,,-9.015640841,,
,150,15,3,,0.037836865,,,0.849303975,,,34.0031257,,,-7.752021785,,
,150,15,Average,3,,0.038131766,,,0.842141376,,,34.35703011,,,-8.235802434,
,150,15,Std Dev,,,,0.000448627,,,0.008905849,,,0.527468816,,,0.681851103
150C-15min_5_IdVg_4_Vd-20,150,15,1,,0.019934655,,,0.816281121,,,128.4085106,,,-14.67586626,,
,150,15,2,,0.025777369,,,0.712363299,,,95716.71388,,,-24.98279583,,
,150,15,3,,0.025687737,,,0.712733378,,,97307.9145,,,-25.04715757,,
,150,15,Average,4,,0.02379992,,,0.747125933,,,64384.34563,,,-21.56860655,
