Sample,Temperature,Time,Scan Number,mu_lin,mu_lin_avg,mu_lin_SD,r_lin,r_lin_avg,r_lin_SD,on_off,on_off_avg,on_off_SD,Vt,Vt_avg,Vt_SD
75C-5min_1-IdVg-2-Vd-20,75,5,1,0.002190909,,,0.570221695,,,1088.29326,,,-31.29244092,,
,75,5,2,0.002173381,,,0.574835798,,,1120.763142,,,-31.56333135,,
,75,5,3,0.002163762,,,0.595456062,,,1149.690722,,,-31.67835645,,
,75,5,Average,,0.002176017,,,0.580171185,,,1119.582374,,,-31.51137624,
,75,5,Std Deviation,,,1.37643E-05,,,0.013436632,,,30.7157572,,,0.198134298
75C-5min_1-IdVg-4-Vd-20,75,5,1,0.00520448,,,0.52863574,,,896.039604,,,-28.77580882,,
,75,5,2,0.004742819,,,0.569555725,,,887.3038516,,,-28.64075782,,
,75,5,3,0.004771146,,,0.55707605,,,893.4306569,,,-29.4990473,,
,75,5,Average,,0.004906148,,,0.551755838,,,892.2580375,,,-28.97187131,
,75,5,Std Deviation,,,0.00025875,,,0.020972358,,,4.484375027,,,0.461514448
75C-5min_1-IdVg-5-Vd-20,75,5,1,0.000264864,,,0.821086388,,,33.68180333,,,-14.11779349,,
,75,5,2,0.000271211,,,0.799521356,,,33.66077276,,,-15.37070117,,
,75,5,3,0.000261617,,,0.82386356,,,33.47527023,,,-14.29438514,,
,75,5,Average,,0.000265897,,,0.814823768,,,33.60594877,,,-14.59429327,
,75,5,Std Deviation,,,4.87974E-06,,,0.013324828,,,0.113658405,,,0.678161542
75C-5min_2-IdVg-1-Vd-20,75,5,1,0.00464552,,,0.55455948,,,20.77077077,,,-18.40586225,,
,75,5,2,0.004626383,,,0.558841069,,,20.58968868,,,-18.5286529,,
,75,5,3,0.004656258,,,0.558579695,,,20.42539373,,,-18.73608557,,
,75,5,Average,,0.004642721,,,0.557326748,,,20.5952844,,,-18.5568669,
,75,5,Std Deviation,,,1.51329E-05,,,0.002400085,,,0.172756501,,,0.166909803
75C-5min_2-IdVg-3-Vd-20,75,5,1,0.014386034,,,0.580680923,,,27.81577111,,,-21.46689257,,
,75,5,2,0.010238011,,,0.577237445,,,1802.518224,,,-19.54848693,,
,75,5,3,0.014305665,,,0.586055443,,,27.70775623,,,-22.14846196,,
,75,5,Average,,0.01297657,,,0.581324604,,,619.3472504,,,-21.05461382,
,75,5,Std Deviation,,,0.002372003,,,0.004444099,,,1024.656122,,,1.348127539
75C-5min_2-IdVg-4-Vd-20,75,5,1,0.010132971,,,0.578932957,,,1803.607214,,,-19.35694449,,
,75,5,2,0.010093168,,,0.585521139,,,1802.518224,,,-19.11384615,,
,75,5,3,0.01003442,,,0.592851562,,,1830.213904,,,-19.04032015,,
,75,5,Average,,0.010086853,,,0.585768552,,,1812.113114,,,-19.17037027,
,75,5,Std Deviation,,,4.95779E-05,,,0.0069626,,,15.68519734,,,0.165707498
75C-10min_3-IdVg-1-Vd-20,75,10,1,0.004589286,,,0.638003045,,,25.43079993,,,-13.84554221,,
,75,10,2,0.004599767,,,0.636724112,,,25.60262966,,,-14.31572285,,
,75,10,3,0.004642236,,,0.631072384,,,25.32948186,,,-14.74087949,,
,75,10,Average,,0.00461043,,,0.635266514,,,25.45430381,,,-14.30071485,
,75,10,Std Deviation,,,2.80393E-05,,,0.003688083,,,0.13808242,,,0.44785728
75C-10min_4-IdVg-1-Vd-20,75,10,1,0.01808618,,,0.573042627,,,64.15419261,,,-24.62223653,,
,75,10,2,0.017947723,,,0.575545955,,,64.08656399,,,-24.75904831,,
,75,10,3,0.018070652,,,0.557695038,,,62.67961682,,,-25.41331901,,
,75,10,Average,,0.018034852,,,0.568761207,,,63.64012447,,,-24.93153462,
,75,10,Std Deviation,,,7.58544E-05,,,0.009664975,,,0.832511036,,,0.422807898
75C-10min_4-IdVg-2-Vd-20,75,10,1,0.019742495,,,0.586430884,,,26.20444865,,,-21.29625746,,
,75,10,2,0.019778727,,,0.582378018,,,25.94632768,,,-22.18233562,,
,75,10,3,0.019442288,,,0.589660433,,,25.71227741,,,-22.35121464,,
,75,10,Average,,0.019654503,,,0.586156445,,,25.95435125,,,-21.94326924,
,75,10,Std Deviation,,,0.000184675,,,0.003648956,,,0.246183702,,,0.56665529
75C-10min_4-IdVg-3-Vd-20,75,10,1,0.024406056,,,0.600421187,,,56.16202946,,,-22.25369811,,
,75,10,2,0.02429736,,,0.589337594,,,54.94676495,,,-22.66959578,,
,75,10,3,0.023889752,,,0.593851154,,,54.49180328,,,-23.32759181,,
,75,10,Average,,0.024197723,,,0.594536645,,,55.20019923,,,-22.75029523,
,75,10,Std Deviation,,,0.000272192,,,0.005573503,,,0.863472973,,,0.541475967
75C-15min_5-IdVg-3-Vd-20,75,15,1,0.015772516,,,0.653269013,,,12.95987888,,,-12.04307162,,
,75,15,2,0.01578882,,,0.651231314,,,13.02899288,,,-12.54917388,,
,75,15,3,0.015782609,,,0.650936639,,,12.95799595,,,-12.63085399,,
,75,15,Average,,0.015781315,,,0.651812322,,,12.98228924,,,-12.40769983,
,75,15,Std Deviation,,,8.22884E-06,,,0.001270106,,,0.040457496,,,0.3184073
75C-15min_5-IdVg-5-Vd-20,75,15,1,0.006227174,,,0.624672718,,,14.44131455,,,-14.89631698,,
,75,15,2,0.006219565,,,0.657160131,,,14.0393627,,,-14.95456134,,
,75,15,3,0.00623913,,,0.639043224,,,13.70786517,,,-15.12473868,,
,75,15,Average,,0.006228623,,,0.640292024,,,14.06284747,,,-14.99187233,
,75,15,Std Deviation,,,9.8628E-06,,,0.016279669,,,0.36728824,,,0.118693723
75C-15min_6-IdVg-3-Vd-20,75,15,1,0.000430357,,,0.533985207,,,3.349633252,,,-14.29857478,,
,75,15,2,0.000432104,,,0.524833348,,,3.314108252,,,-15.47381188,,
,75,15,3,0.000419379,,,0.53401955,,,3.280212483,,,-15.02493088,,
,75,15,Average,,0.00042728,,,0.530946035,,,3.314651329,,,-14.93243918,
,75,15,Std Deviation,,,6.89811E-06,,,0.00529377,,,0.03471357,,,0.593052776
75C-15min_6-IdVg-4-Vd-20,75,15,1,0.000294379,,,0.594856613,,,17.17782427,,,-30.5853993,,
,75,15,2,0.00028913,,,0.594932644,,,16.89474786,,,-31.28034372,,
,75,15,3,0.00028,,,0.605654762,,,16.69321039,,,-31.52536232,,
,75,15,Average,,0.000287836,,,0.59848134,,,16.92192751,,,-31.13036845,
,75,15,Std Deviation,,,7.27625E-06,,,0.006212482,,,0.243447534,,,0.48759825
75C-30min_7-IdVg-1-Vd-20,75,30,1,0.008506211,,,0.6368174,,,31.50137397,,,-12.40367531,,
,75,30,2,0.008097826,,,0.652826846,,,31.69654128,,,-11.05369128,,
,75,30,3,0.008130435,,,0.650885027,,,31.54724558,,,-11.21390374,,
,75,30,Average,,0.008244824,,,0.646843091,,,31.58172027,,,-11.55709011,
,75,30,Std Deviation,,,0.000226954,,,0.00873662,,,0.102048754,,,0.737527547
