
Vg(V)	Id(A)	-Id(A)	Ig(A)	abs(Ig)(A)	Sqrt(Id)	Gm	LinearMobility(cm2/Vs)	SaturationMobility(cm2/Vs)	InvSubthS(V/dec)
5.000E+0	-6.282E-8	6.282E-8	7.946E-10	7.946E-10	2.506E-4	1.603E-9	3.484E-4	8.460E-5	9.480E+1
3.000E+0	-6.923E-8	6.923E-8	5.314E-10	5.314E-10	2.631E-4	3.012E-9	6.548E-4	2.871E-4	5.249E+1
1.000E+0	-7.487E-8	7.487E-8	4.234E-10	4.234E-10	2.736E-4	2.877E-9	6.254E-4	2.403E-4	5.990E+1
-1.000E+0	-8.074E-8	8.074E-8	3.471E-10	3.471E-10	2.841E-4	3.124E-9	6.792E-4	2.620E-4	5.967E+1
-3.000E+0	-8.737E-8	8.737E-8	2.910E-10	2.910E-10	2.956E-4	3.276E-9	7.122E-4	2.676E-4	6.124E+1
-5.000E+0	-9.385E-8	9.385E-8	2.146E-10	2.146E-10	3.063E-4	3.545E-9	7.707E-4	2.896E-4	6.124E+1
-7.000E+0	-1.016E-7	1.016E-7	1.145E-10	1.145E-10	3.187E-4	3.951E-9	8.590E-4	3.341E-4	5.917E+1
-9.000E+0	-1.097E-7	1.097E-7	1.325E-10	1.325E-10	3.311E-4	4.075E-9	8.859E-4	3.295E-4	6.187E+1
-1.100E+1	-1.178E-7	1.178E-7	1.126E-10	1.126E-10	3.433E-4	3.937E-9	8.560E-4	2.871E-4	6.862E+1
-1.300E+1	-1.254E-7	1.254E-7	1.915E-11	1.915E-11	3.541E-4	3.900E-9	8.478E-4	2.634E-4	7.409E+1
-1.500E+1	-1.334E-7	1.334E-7	5.100E-11	5.100E-11	3.653E-4	4.010E-9	8.717E-4	2.622E-4	7.652E+1
-1.700E+1	-1.414E-7	1.414E-7	-5.000E-13	5.000E-13	3.761E-4	3.848E-9	8.364E-4	2.282E-4	8.439E+1
-1.900E+1	-1.488E-7	1.488E-7	-1.160E-11	1.160E-11	3.858E-4	3.927E-9	8.538E-4	2.248E-4	8.745E+1
-2.100E+1	-1.572E-7	1.572E-7	-2.075E-11	2.075E-11	3.964E-4	3.890E-9	8.457E-4	2.102E-4	9.263E+1
-2.300E+1	-1.644E-7	1.644E-7	-8.900E-12	8.900E-12	4.055E-4	3.913E-9	8.505E-4	2.018E-4	9.702E+1
-2.500E+1	-1.728E-7	1.728E-7	1.360E-11	1.360E-11	4.157E-4	4.025E-9	8.750E-4	2.043E-4	9.858E+1
-2.700E+1	-1.805E-7	1.805E-7	-9.450E-12	9.450E-12	4.249E-4	3.737E-9	8.125E-4	1.685E-4	1.110E+2
-2.900E+1	-1.877E-7	1.877E-7	-4.130E-11	4.130E-11	4.333E-4	3.675E-9	7.989E-4	1.564E-4	1.176E+2
-3.100E+1	-1.952E-7	1.952E-7	-5.560E-11	5.560E-11	4.418E-4	3.762E-9	8.179E-4	1.577E-4	1.194E+2
-3.300E+1	-2.028E-7	2.028E-7	-9.980E-11	9.980E-11	4.503E-4	3.662E-9	7.962E-4	1.440E-4	1.273E+2
-3.500E+1	-2.098E-7	2.098E-7	-5.715E-11	5.715E-11	4.581E-4	3.773E-9	8.201E-4	1.471E-4	1.283E+2
-3.700E+1	-2.179E-7	2.179E-7	-3.105E-11	3.105E-11	4.668E-4	3.850E-9	8.370E-4	1.482E-4	1.301E+2
-3.900E+1	-2.253E-7	2.253E-7	-3.480E-11	3.480E-11	4.746E-4	4.140E-9	9.000E-4	1.648E-4	1.257E+2
-4.100E+1	-2.345E-7	2.345E-7	-4.265E-11	4.265E-11	4.842E-4	4.075E-9	8.859E-4	1.547E-4	1.318E+2
-4.300E+1	-2.415E-7	2.415E-7	-6.290E-11	6.290E-11	4.915E-4	3.350E-9	7.283E-4	1.012E-4	1.657E+2
-4.500E+1	-2.478E-7	2.478E-7	-8.960E-11	8.960E-11	4.978E-4	3.875E-9	8.424E-4	1.310E-4	1.481E+2
-4.700E+1	-2.570E-7	2.570E-7	-5.975E-11	5.975E-11	5.070E-4	4.125E-9	8.967E-4	1.445E-4	1.429E+2
-4.900E+1	-2.644E-7	2.644E-7	-1.480E-10	1.480E-10	5.141E-4	4.012E-9	8.723E-4	1.321E-4	1.521E+2
-5.100E+1	-2.731E-7	2.731E-7	-1.393E-10	1.393E-10	5.226E-4	4.035E-9	8.772E-4	1.300E-4	1.554E+2
-5.300E+1	-2.805E-7	2.805E-7	-7.600E-11	7.600E-11	5.296E-4	3.960E-9	8.609E-4	1.213E-4	1.634E+2
-5.500E+1	-2.889E-7	2.889E-7	-8.960E-11	8.960E-11	5.375E-4	3.965E-9	8.620E-4	1.185E-4	1.675E+2
-5.700E+1	-2.963E-7	2.963E-7	-1.473E-10	1.473E-10	5.444E-4	3.388E-9	7.364E-4	8.437E-5	2.010E+2
-5.900E+1	-3.025E-7	3.025E-7	-1.066E-10	1.066E-10	5.500E-4	3.475E-9	7.554E-4	8.656E-5	2.009E+2
-6.100E+1	-3.103E-7	3.103E-7	-1.649E-10	1.649E-10	5.570E-4	3.500E-9	7.609E-4	8.606E-5	2.036E+2
-6.300E+1	-3.165E-7	3.165E-7	-1.595E-10	1.595E-10	5.626E-4	4.222E-9	9.179E-4	1.216E-4	1.737E+2
-6.500E+1	-3.271E-7	3.271E-7	-1.113E-10	1.113E-10	5.720E-4	3.403E-9	7.397E-4	7.786E-5	2.188E+2
-6.700E+1	-3.301E-7	3.301E-7	-1.350E-10	1.350E-10	5.745E-4	3.275E-9	7.120E-4	6.988E-5	2.346E+2
-6.900E+1	-3.402E-7	3.402E-7	-1.043E-10	1.043E-10	5.833E-4	3.935E-9	8.554E-4	9.961E-5	1.977E+2
-7.100E+1	-3.458E-7	3.458E-7	-1.495E-10	1.495E-10	5.881E-4	3.125E-9	6.793E-4	6.128E-5	2.553E+2
-7.300E+1	-3.527E-7	3.527E-7	-2.265E-10	2.265E-10	5.939E-4	4.013E-9	8.723E-4	9.892E-5	2.030E+2
-7.500E+1	-3.619E-7	3.619E-7	-1.116E-10	1.116E-10	6.016E-4	3.477E-9	7.560E-4	7.309E-5	2.381E+2
-7.700E+1	-3.667E-7	3.667E-7	-2.608E-10	2.608E-10	6.055E-4	3.627E-9	7.886E-4	7.750E-5	2.343E+2
-7.900E+1	-3.764E-7	3.764E-7	-2.356E-10	2.356E-10	6.135E-4	3.735E-9	8.120E-4	8.107E-5	2.306E+2
-8.100E+1	-3.816E-7	3.816E-7	-1.720E-10	1.720E-10	6.177E-4	2.397E-9	5.212E-4	3.278E-5	3.661E+2
-8.300E+1	-3.860E-7	3.860E-7	-1.904E-10	1.904E-10	6.213E-4	3.177E-9	6.908E-4	5.658E-5	2.811E+2
-8.500E+1	-3.943E-7	3.943E-7	-1.255E-10	1.255E-10	6.279E-4	3.475E-9	7.554E-4	6.681E-5	2.603E+2
-8.700E+1	-3.999E-7	3.999E-7	-1.501E-10	1.501E-10	6.324E-4	3.547E-9	7.712E-4	6.816E-5	2.605E+2
-8.900E+1	-4.085E-7	4.085E-7	-1.228E-10	1.228E-10	6.391E-4	3.390E-9	7.370E-4	6.144E-5	2.762E+2
-9.100E+1	-4.134E-7	4.134E-7	-8.900E-11	8.900E-11	6.430E-4	1.640E-9	3.565E-4	1.420E-5	5.781E+2
-9.300E+1	-4.151E-7	4.151E-7	-1.118E-10	1.118E-10	6.442E-4	1.735E-9	3.772E-4	1.570E-5	5.533E+2
-9.500E+1	-4.204E-7	4.204E-7	-2.113E-10	2.113E-10	6.484E-4	1.335E-9	2.902E-4	9.275E-6	7.205E+2
